ID,Source,Sample,Scan  #,Side,Treatment,Region,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Area size,Analyst
137,E3,E3.1.6b,17,Ventral,Unheated,South Africa,86.23,-0.43,2.93,212.97,314.43,527.4,69.21,26220745.96,MM
138,E3,E3.1.6b,18,Ventral,Unheated,South Africa,69.53,-0.47,3.38,215.11,263.18,478.29,54.79,49061838.91,MM
139,E3,E3.1.6b,19,Ventral,Unheated,South Africa,72.58,-0.97,4.28,167.68,307.04,474.72,54.52,48866346.75,MM
140,E3,E3.1.6b,20,Ventral,Unheated,South Africa,77.89,-0.73,3.45,182.42,300.97,483.39,61.96,47671044.83,MM
141,D9,D9.1.10A,1,Dorsal,Unheated,South Africa,93.42,0.99,3.85,394.7,323.47,718.17,74.36,30643303.46,MM
142,D9,D9.1.10A,2,Dorsal,Unheated,South Africa,118.28,0.49,3.99,396.35,864.89,1261.24,91.67,47634512.85,MM
143,D9,D9.1.10A,3,Dorsal,Unheated,South Africa,150.11,-0.64,2.81,378.49,507.4,885.89,121.22,47008680.07,MM
144,D9,D9.1.10A,4,Dorsal,Unheated,South Africa,192.49,0,2.78,526.17,490.99,1017.16,150.29,49981708.09,MM
145,D9,D9.1.10A,5,Dorsal,Unheated,South Africa,127.87,0.79,5.36,497.2,384.47,881.67,89.63,47715313,MM
146,D9,D9.1.10A,6,Dorsal,Unheated,South Africa,127.98,0.06,2.58,429.98,362.53,792.51,104.44,46398135.48,MM
147,D9,D9.1.10A,7,Dorsal,Unheated,South Africa,121.55,-0.68,3.33,280.76,423.9,704.66,96.92,54830638.08,MM
148,D9,D9.1.10A,8,Dorsal,Unheated,South Africa,175.58,-0.42,2.86,389.53,572.89,962.42,140.55,51931226.61,MM
149,D9,D9.1.10A,9,Dorsal,Unheated,South Africa,137.6,1.01,3.7,571.02,230.17,801.19,110.05,25460612.37,MM
150,D9,D9.1.10A,10,Dorsal,Unheated,South Africa,119.61,0.35,3.54,511.11,434.21,945.32,93.19,57924804.92,MM
151,D9,D9.1.10A,11,Ventral,Unheated,South Africa,127,-0.1,3.29,496.44,363.06,859.5,97.88,48386212.12,MM
152,D9,D9.1.10A,12,Ventral,Unheated,South Africa,160.71,1.74,5.66,614.62,280.37,894.99,112.31,45316788.78,MM
153,D9,D9.1.10A,13,Ventral,Unheated,South Africa,175.64,-0.26,2.77,389.9,596.24,986.14,140.1,46969323.77,MM
154,D9,D9.1.10A,14,Ventral,Unheated,South Africa,122.43,-1.11,4.39,273.18,472.58,745.76,94,48557574.75,MM
155,D9,D9.1.10A,15,Ventral,Unheated,South Africa,158.82,0.27,2.7,471.19,384.26,855.45,126.96,47203803.84,MM
156,D9,D9.1.10A,16,Ventral,Unheated,South Africa,53.35,-0.41,3.22,156.43,274.62,431.05,42.04,47424162.31,MM
157,D9,D9.1.10A,17,Ventral,Unheated,South Africa,139.2,0.45,3.43,472.97,399.95,872.92,108.29,48046679.57,MM
158,D9,D9.1.10A,18,Ventral,Unheated,South Africa,66.78,-0.67,3.49,234.65,314.83,549.48,52.93,47633284.88,MM
159,D9,D9.1.10A,19,Ventral,Unheated,South Africa,178.23,-0.42,3.17,449.84,636.78,1086.62,140.7,47377622.4,MM
160,D9,D9.1.10A,20,Ventral,Unheated,South Africa,142.08,-1.07,4.05,284.05,570.09,854.14,108.47,48235602.11,MM
161,E3,E3.1.6B.19,1,Dorsal,Unheated,South Africa,178.25,0.6,3.05,484.04,427.22,911.26,138.15,52089879.79,MM
162,E3,E3.1.6B.19,2,Dorsal,Unheated,South Africa,107.61,0.45,3.83,351.18,319.11,670.29,81.35,51623375.58,MM
163,E3,E3.1.6B.19,3,Dorsal,Unheated,South Africa,124.26,-0.03,3.31,404.17,373.3,777.47,94.49,27588929.78,MM
164,E3,E3.1.6B.19,4,Dorsal,Unheated,South Africa,222.78,0.62,2.56,572.88,412.29,985.17,182.73,56329285.13,MM
165,E3,E3.1.6B.19,5,Dorsal,Unheated,South Africa,139.55,0.4,2.27,401.46,286.73,688.19,117.12,26889833.24,MM
166,E3,E3.1.6B.19,6,Dorsal,Unheated,South Africa,158.25,0.44,2.75,715.53,335.85,1051.38,130.43,47340349.15,MM
167,E3,E3.1.6B.19,7,Dorsal,Unheated,South Africa,72.82,-0.05,3.32,375.62,242.62,618.24,57.72,27224261.89,MM
168,E3,E3.1.6B.19,8,Dorsal,Unheated,South Africa,102.88,0.26,3.3,391.48,310.41,701.89,81.57,27437249.78,MM
169,E3,E3.1.6B.19,9,Dorsal,Unheated,South Africa,164.63,0.44,3.79,624.34,433.09,1057.43,124.26,45302435.94,MM
170,E3,E3.1.6B.19,10,Dorsal,Unheated,South Africa,130.71,-0.46,5.08,383.94,597.5,981.44,93.87,48948070.38,MM
171,E3,E3.1.6B.19,11,Ventral,Unheated,South Africa,116.44,0.28,4.6,414.3,444.62,858.92,85.95,46819412.58,MM
172,E3,E3.1.6B.19,12,Ventral,Unheated,South Africa,179.17,-1.87,8.03,311.09,901.46,1212.55,122.11,105290872,MM
173,E3,E3.1.6B.19,13,Ventral,Unheated,South Africa,131.88,-0.37,3.19,389.07,457.91,846.98,103.19,107196876.8,MM
